Mental_Health_Issue,Therapy_Type
Stress & Anxiety,Mindfulness
Social Anxiety,Gradual Exposure
Fear of Failure,Cognitive Reframing
Depression,Mood Elevation
Decision Paralysis,Cognitive Training
Agoraphobia,Exposure Therapy
Emotional Loneliness,Connection Therapy
Burnout,Relaxation Therapy
PTSD,Trauma Therapy
Sleep Anxiety,Sleep Therapy
Severe Stress,Deep Breathing Exercises
No Issue,Relaxation
Depression,Mood Elevation
Anxiety,Mood Elevation
Stress,Cognitive Training
Stress,Mood Elevation
Depression,Cognitive Training
Depression,Mood Elevation
Anxiety,Mindfulness
Stress,Mood Elevation
Depression,Cognitive Training
Depression,Mood Elevation
Stress,Mindfulness
Stress,Mood Elevation
Depression,Mindfulness
Depression,Mindfulness
Stress,Mood Elevation
Depression,Mood Elevation
Depression,Cognitive Training
Stress,Cognitive Training
Stress,Cognitive Training
Depression,Mindfulness
Anxiety,Mindfulness
Depression,Cognitive Training
Anxiety,Cognitive Training
Stress,Mood Elevation
Depression,Cognitive Training
Anxiety,Mood Elevation
Stress,Mood Elevation
Anxiety,Mood Elevation
Depression,Mood Elevation
Anxiety,Mindfulness
Stress,Cognitive Training
Stress,Mindfulness
Anxiety,Cognitive Training
Depression,Cognitive Training
Depression,Cognitive Training
Stress,Mood Elevation
Stress,Mood Elevation
Anxiety,Mood Elevation
Stress,Mindfulness
Anxiety,Mood Elevation
Depression,Mindfulness
Panic Disorder,cozy_cabin
Panic Disorder,cozy_cabin
Panic Disorder,cozy_cabin
Panic Disorder,cozy_cabin
Panic Disorder,cozy_cabin
Panic Disorder,cozy_cabin
Panic Disorder,cozy_cabin
Panic Disorder,cozy_cabin
Panic Disorder,cozy_cabin
Panic Disorder,cozy_cabin
OCD,meadow
OCD,meadow
OCD,meadow
OCD,meadow
OCD,meadow
OCD,meadow
OCD,meadow
OCD,meadow
OCD,meadow
OCD,meadow
Bipolar Disorder,forest
Bipolar Disorder,forest
Bipolar Disorder,forest
Bipolar Disorder,forest
Bipolar Disorder,forest
Bipolar Disorder,forest
Bipolar Disorder,forest
Bipolar Disorder,forest
Bipolar Disorder,forest
Bipolar Disorder,forest
